"gene_id","log2FC","pval"
"ENSG00000166091",-3.98500483641672,1.41722165379798e-42
"ENSG00000022267",-3.90632800154252,1.78495570433929e-42
"ENSG00000129467",-1.94941943052553,1.86404790332174e-42
"ENSG00000146374",-2.54611141526667,3.01660151883612e-42
"ENSG00000075218",2.8815859550296,3.53042404661444e-42
"ENSG00000162849",3.04732754967418,4.0935303807903e-42
"ENSG00000165209",1.23608275041189,4.69139455219421e-42
"ENSG00000173757",-1.17616233749004,5.16873684370169e-42
"ENSG00000164087",1.91466256831462,6.18569871908793e-42
"ENSG00000267603",-4.09688307868995,7.05608479246295e-42
"ENSG00000183682",2.34159631838598,7.20813115947036e-42
"ENSG00000132646",1.29011945817386,7.30554141387101e-42
"ENSG00000167461",0.856216057493818,8.33508345597625e-42
"ENSG00000229108",-4.07781036202715,1.23368701124969e-41
"ENSG00000076382",2.54877039559175,1.28662085819903e-41
"ENSG00000165478",-5.46256806550574,1.40275924771446e-41
"ENSG00000149575",-3.3798596128931,1.6705746241518e-41
"ENSG00000231768",-2.72766038387666,2.093967446805e-41
"ENSG00000170323",-5.83263131468635,2.48481074717369e-41
"ENSG00000152779",-3.17976587133355,2.64641521475569e-41
"ENSG00000225194",-3.56755338239252,2.65774468409076e-41
"ENSG00000136960",-2.70476917683926,3.02518228117107e-41
"ENSG00000121152",2.65998473389821,3.11595880441018e-41
"ENSG00000163468",1.1608323977508,3.45605457375281e-41
"ENSG00000250538",-5.75889790765755,3.85977376670861e-41
"ENSG00000163734",-3.14536262089559,4.47199425545938e-41
"ENSG00000164946",-3.34218126002528,4.47888779153517e-41
"ENSG00000276289",-3.73939521808947,5.02614814227761e-41
"ENSG00000070031",3.54454038422759,6.51395562372486e-41
"ENSG00000106511",-2.9929181443245,7.11996492466761e-41
"ENSG00000135823",0.844594037698425,8.36311782682257e-41
"ENSG00000143367",1.5665352338266,9.11318506108014e-41
"ENSG00000170965",4.28557235448978,1.04538546212782e-40
"ENSG00000089685",3.70112689116386,1.13799976780996e-40
"ENSG00000013293",-3.19064292852675,1.22331468166573e-40
"ENSG00000010319",-2.76957044127066,1.34569416189652e-40
"ENSG00000107738",-1.75089911020125,1.36046688989608e-40
"ENSG00000013810",2.0659586335069,1.51182433368579e-40
"ENSG00000146410",2.41539220200911,1.56933408307471e-40
"ENSG00000145020",-1.7711712857575,1.60784976361049e-40
"ENSG00000125505",1.37718007771907,1.70305684366783e-40
"ENSG00000004799",-3.54280978518152,1.72779588620254e-40
"ENSG00000134375",1.11548533794082,1.98192629377909e-40
"ENSG00000117139",1.12891354129825,2.27171681920785e-40
"ENSG00000166025",-1.54063862300313,2.49219771177227e-40
"ENSG00000121621",2.34855719173577,2.69813314544766e-40
"ENSG00000169418",-3.14158918551309,2.9386023490268e-40
"ENSG00000167977",1.08772585586811,3.14625333747109e-40
"ENSG00000163884",-3.50205179216828,3.86490333573973e-40
"ENSG00000165028",-2.5657344116414,4.57415709709073e-40
"ENSG00000254369",-2.5868790519007,4.92887703996184e-40
"ENSG00000237949",-3.9105350734478,4.97355834839256e-40
"ENSG00000187193",-2.21582745898217,7.01246179994667e-40
"ENSG00000100479",1.44808495494757,8.19430027450904e-40
"ENSG00000277639",-3.61945425324552,8.26584215489404e-40
"ENSG00000165092",-2.51004277565018,8.89423692615629e-40
"ENSG00000175445",-4.22690106262578,1.08655328760213e-39
"ENSG00000146670",2.84266979844788,1.1854297581874e-39
"ENSG00000180354",-2.32180632351769,1.26014682564417e-39
"ENSG00000259236",-2.35779853821365,1.78402223383072e-39
"ENSG00000270977",3.70342980889273,2.19299342861641e-39
"ENSG00000261054",-3.77432025813511,2.40615404480761e-39
"ENSG00000101280",-3.33881623552516,3.46423276657643e-39
"ENSG00000133110",2.53084259956012,3.89281898396364e-39
"ENSG00000160877",1.34699907295065,4.34646824362816e-39
"ENSG00000254122",-1.55113619638451,4.63570920807433e-39
"ENSG00000102384",2.18136605344353,4.94270628864541e-39
"ENSG00000132676",0.881031109302754,5.90583289873428e-39
"ENSG00000103546",-4.14663724409578,6.13391516724273e-39
"ENSG00000167874",-2.27295898107821,6.16028259654786e-39
"ENSG00000238018",-2.54957919131766,6.68837837062529e-39
"ENSG00000259658",-1.91902265730504,7.05290233618802e-39
"ENSG00000120334",1.36522532291281,8.05782024706048e-39
"ENSG00000004776",-4.30770301288977,8.60408056148081e-39
"ENSG00000129596",-3.5420575781354,1.04823835027266e-38
"ENSG00000005102",-3.5344820240882,1.2058208684638e-38
"ENSG00000143748",1.25275309854133,1.21104150820323e-38
"ENSG00000277288",-2.48372231283036,1.32497392758528e-38
"ENSG00000158445",-3.44827539831644,1.84810979068339e-38
"ENSG00000100162",2.7191795504144,3.1410291880645e-38
"ENSG00000018625",-4.69839545547778,3.22450989715758e-38
"ENSG00000104889",1.61401812594613,3.79725294463733e-38
"ENSG00000278931",-3.18756182098687,4.55724500674972e-38
"ENSG00000266601",-1.41739942574158,5.24963098036197e-38
"ENSG00000136160",-2.01924040058637,6.5129656401497e-38
"ENSG00000136161",-1.06184589062208,7.84782205604519e-38
"ENSG00000117410",1.20542034189336,8.41921967931398e-38
"ENSG00000170373",6.92352052318565,8.90590913805968e-38
"ENSG00000259660",-2.65192777292425,8.94897557298265e-38
"ENSG00000264176",-1.82417987082895,9.5255786721332e-38
"ENSG00000115163",3.01318755637806,1.0234530076479e-37
"ENSG00000189057",3.16212606223832,1.06294678549305e-37
"ENSG00000174871",2.67724306879426,1.06805871848363e-37
"ENSG00000109063",-1.55921429543924,1.08851057433363e-37
"ENSG00000166793",-1.77694997966493,1.23434870798999e-37
"ENSG00000206149",-1.22075277416794,1.37065737219436e-37
"ENSG00000232021",2.43058636416163,1.65546999250769e-37
"ENSG00000206120",-3.24330357174884,1.93059071709835e-37
"ENSG00000143742",1.05022766077609,1.99526846091388e-37
"ENSG00000143315",0.922667160779674,2.26848055389179e-37
"ENSG00000149596",-2.80734900469594,2.272828385813e-37
"ENSG00000275152",-2.58512857593473,2.47543632854753e-37
"ENSG00000187758",-4.26500727351634,2.61582149218351e-37
"ENSG00000244513",-1.11943654099625,2.64171154985672e-37
"ENSG00000135218",-4.00216719868857,3.68626173824456e-37
"ENSG00000260977",-1.7515159352223,3.81553150596013e-37
"ENSG00000196747",4.23530101656644,3.99457972821777e-37
"ENSG00000180044",2.09496954725967,4.05995544589195e-37
"ENSG00000152527",-1.94664648991768,6.78971561374454e-37
"ENSG00000088992",-2.49738619011243,6.91228835354158e-37
"ENSG00000186283",1.00631202230942,7.07780365497932e-37
"ENSG00000118946",1.70569850197938,7.63174799802e-37
"ENSG00000143294",0.871254814315881,7.91521361149068e-37
"ENSG00000188828",-3.8777604663811,8.03810539803129e-37
